appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
56815224,EP,40417886,2009,1,0,1,1,1,1
56821274,US,40454662,2009,1,0,2,1,2,0
56826432,EP,35355814,2009,1,0,2,1,2,1
56857169,US,34969837,2009,1,1,2,1,3,0
56857170,US,34959687,2009,1,1,2,1,2,3
56857171,US,40470831,2009,1,1,1,1,1,0
56859337,US,34609975,2009,0,0,2,1,2,0
56879082,US,35929971,2009,1,1,2,2,2,1
56883092,US,32321662,2009,1,1,2,1,2,3
56927117,US,39563434,2009,1,1,2,1,1,2
56927303,US,37649471,2009,1,1,2,1,3,3
56996364,EP,40521549,2009,1,0,1,1,1,0
57055484,US,38813859,2009,1,1,1,1,1,1
57059664,US,40490415,2009,1,0,1,1,2,0
57061335,US,40535004,2009,1,0,2,1,1,0
57066794,EP,40384198,2009,1,1,2,1,2,1
57138409,US,38566895,2009,1,1,2,1,2,14
57138410,US,40493752,2009,1,1,2,1,1,1
57180377,EP,41058836,2009,1,0,1,1,1,0
57193280,US,39865622,2009,1,1,2,1,2,0
57195211,US,39865390,2009,0,0,2,1,1,0
57214306,US,40042769,2009,1,1,2,1,2,0
57216981,US,40588239,2009,1,0,2,1,2,0
57259667,US,40601519,2009,1,1,1,1,1,1
57293837,US,34558188,2009,1,1,1,2,1,0
57293838,US,40032634,2009,1,1,2,1,1,0
57293840,US,40342257,2009,1,1,2,1,2,1
57300435,US,40623863,2009,1,0,1,1,1,0
57320332,EP,40785550,2009,1,0,1,1,1,0
57362776,US,40032691,2009,1,1,2,1,1,2
57364253,US,39081588,2009,1,0,2,1,1,0
57420482,EP,41345997,2010,1,0,1,1,1,0
57430746,US,40666742,2009,1,1,2,2,1,0
57445023,EP,41057625,2009,1,0,2,1,2,1
57483542,EP,40679036,2010,1,0,1,1,1,1
57486341,US,38006097,2009,1,1,2,2,2,0
57486677,US,40472916,2009,1,1,2,3,1,2
57487971,US,38510334,2009,1,1,2,1,2,2
57579156,EP,38962528,2010,1,0,1,1,2,1
57584092,EP,41396141,2010,1,0,1,1,1,0
57591765,US,40472130,2009,1,1,2,1,1,0
57593595,US,40621357,2009,1,0,1,1,2,0
57593596,US,40472015,2009,1,1,2,1,1,0
57593600,US,40721861,2009,0,0,1,1,1,0
57593614,US,40718043,2009,0,0,1,1,1,0
57645335,US,40753500,2009,1,1,1,1,1,0
57683903,EP,40775156,2009,1,0,1,1,1,1
57722971,US,40225367,2009,0,0,2,1,1,0
57722973,US,38543649,2009,1,1,2,2,2,3
57724951,US,40265972,2009,1,1,2,2,1,0
57746533,EP,40902782,2009,1,0,1,1,1,0
57761624,US,40538868,2009,1,1,2,1,2,0
57763940,US,40278632,2009,1,1,2,1,1,1
57763941,US,39645219,2009,0,0,2,1,1,0
57821929,EP,40824788,2009,2,0,1,1,1,0
57847777,US,39027518,2009,1,1,2,1,2,2
57852538,US,36933610,2009,1,1,2,1,2,0
57877672,US,40849988,2009,0,0,1,1,1,0
57879082,US,40850776,2009,1,1,2,2,1,0
57946188,US,40278951,2009,1,1,2,1,1,1
57947107,US,40278978,2009,1,1,2,2,1,0
57948456,US,38667500,2009,1,0,2,1,1,0
